GENESIS-Tabelle: 11111-0001;
Gebietsflaeche: Bundeslaender. Stichtag;
Feststellung des Gebietsstands;
Gebietsflaeche (qkm);
;Stichtag
;31.12.16
Baden-Wuerttemberg;35673.71
Bayern;70542.03
Berlin;891.12
Brandenburg;29654.38
Bremen;419.84
Hamburg;755.09
Hessen;21115.67
Mecklenburg-Vorpommern;23292.73
Niedersachsen;47709.83
Nordrhein-Westfalen;34112.74
Rheinland-Pfalz;19858.00
Saarland;2571.10
Sachsen;18449.99
Sachsen-Anhalt;20452.14
Schleswig-Holstein;15802.27
Thueringen;16202.37